,NGA,PolID,Time,origin
1249,Big Island Hawaii,USKameh,1800,Gauss1
5816,Cambodian Basin,KhFunaE,300,Gauss2
873,Cuzco,PeWari*,700,Gauss1
2561,Iceland,IsCommw,1000,Gauss1
5046,Iceland,IsCommw,1100,Gauss1
907,Iceland,IsCommw,1200,Gauss1
3806,Iceland,NorKing,1300,Gauss2
3811,Kachi Plain,PkUrbn1,-2500,Gauss1
2999,Kansai,JpKofun,300,Gauss1
6312,Kansai,JpKofun,400,Gauss2
3829,Kansai,JpKofun,500,Gauss2
1774,Kapuasi Basin,IdBrokL,1900,Gauss1
7577,Konya Plain,TrBrzMD,-2000,Gauss1
3443,Konya Plain,TrNHitt,-1100,Gauss1
7585,Konya Plain,TrPhryg,-800,Gauss2
3882,Latium,ItRomRg,-700,Gauss1
4297,Latium,ItRomRg,-600,Gauss1
1424,Lena River Valley,RuYakuL,1900,Gauss1
1428,Middle Yellow River Valley,CnLngsh,-3000,Gauss1
5155,Middle Yellow River Valley,CnErlit,-1800,Gauss1
7694,Orkhon Valley,MnXngnM,-200,Gauss2
6867,Orkhon Valley,MnXngnL,0,Gauss2
1072,Orkhon Valley,MnXianb,100,Gauss2
3557,Orkhon Valley,MnRourn,300,Gauss1
7698,Orkhon Valley,MnRourn,500,Gauss2
7295,Oro PNG,PgOrokL,1900,Gauss2
680,Paris Basin,FrTeneB,-300,Gauss1
6477,Paris Basin,FrTeneB,-200,Gauss2
3608,Sogdiana,UzSogdi,700,Gauss2
8172,Southern China Hills,CnHQngL,1800,Gauss1
4033,Southern China Hills,CnHChin,1900,Gauss1
7364,Susiana,IrSusa3,-3000,Gauss1
6123,Susiana,IrAwanE,-2600,Gauss2
7366,Susiana,IqAkkad,-2200,Gauss2
7781,Susiana,IrShima,-2000,Gauss2
4470,Susiana,IrSukkE,-1900,Gauss2
7369,Susiana,IrSukkE,-1800,Gauss2
3644,Susiana,IrSukkL,-1700,Gauss2
6957,Susiana,IrSukkL,-1600,Gauss2
4060,Susiana,IrMElm1,-1500,Gauss1
749,Susiana,IrMElm2,-1400,Gauss2
7788,Susiana,IrMElm2,-1300,Gauss2
2408,Susiana,IrNElm1,-900,Gauss2
761,Susiana,IrElym2,100,Gauss2
780,Upper Egypt,EgNaqa2,-3400,Gauss1
5335,Upper Egypt,EgNaqa3,-3300,Gauss1
5336,Upper Egypt,EgNaqa3,-3200,Gauss1
5337,Upper Egypt,EgDyn1*,-3100,Gauss2
1617,Upper Egypt,EgRegns,-2100,Gauss1
2482,Yemeni Coastal Plain,YeQasmi,1700,Gauss2
